"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 01 06:36:15 GMT 2025","Sat Mar 01 06:36:15 GMT 2025","349","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testListarUsuariosPorEmailInvalidoSemSucesso","testListarUsuariosPorEmailInvalidoSemSucesso()",""
"passed","Sat Mar 01 06:36:44 GMT 2025","Sat Mar 01 06:36:44 GMT 2025","768","","com.vemser.rest.tests.produto.ProdutoGetTest","","com.vemser.rest.tests.produto.ProdutoGetTest","testBuscarProdutoPorIDCOmSucesso","testBuscarProdutoPorIDCOmSucesso()",""
"passed","Sat Mar 01 06:36:51 GMT 2025","Sat Mar 01 06:36:51 GMT 2025","361","","com.vemser.rest.tests.produto.ProdutoPostTest","","com.vemser.rest.tests.produto.ProdutoPostTest","testCadastrarProdutoInvalidoSemSucesso","testCadastrarProdutoInvalidoSemSucesso(Produto, String, String, String, int) [3] Produto(nome=ABCFantastic Steel Chair, preco=9, descricao=gcviclwa9zc5obf5pvucwh2hv2pz35fuw6rwc5v948r7qqglrtib9vszdhs3atg8am7w6iioy05ncgyvpomtqsktg209r1cbl9x2n0w0jrwccjhm7zctjwx1z4npp4257dvnemh96d3zw7441m2goq0k8kvekbriuwrezlmzsaii3mz7i5qwmnku9oqo42y8fprc29jylrlpmu7oj9jh06aby9i86ks6dw2go5nyx69zo7skdkg5m9del4dhl2g, quantidade=1), Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im5pY29sZS5tYWNlZG9AbGl2ZS5jb20iLCJwYXNzd29yZCI6InU0M3R1ZmU4cXgiLCJpYXQiOjE3NDA4MTEwMTAsImV4cCI6MTc0MDgxMTYxMH0.aOk2d9RqpWFmxFImFwxERJcN67YM_Yb5jTr_ybgOmts, message, Rota exclusiva para administradores, 403",""
"passed","Sat Mar 01 06:36:17 GMT 2025","Sat Mar 01 06:36:19 GMT 2025","2161","","com.vemser.rest.tests.usuario.UsuariosPutTest","","com.vemser.rest.tests.usuario.UsuariosPutTest","testDeveAtualizarUsuarioComCampoNomeVazioSemSucesso","testDeveAtualizarUsuarioComCampoNomeVazioSemSucesso()",""
"passed","Sat Mar 01 06:36:33 GMT 2025","Sat Mar 01 06:36:34 GMT 2025","487","","com.vemser.rest.tests.produto.ProdutoPutTest","","com.vemser.rest.tests.produto.ProdutoPutTest","testAtualizarProdutoInvalidoStatus400SemSucesso","testAtualizarProdutoInvalidoStatus400SemSucesso(Produto, String, String) [3] Produto(nome=ABCFantastic Granite Knife, preco=null, descricao=3n6abwvjlhkihyyuu75n1gad3xifrvgi4z6d2o3adfwbk3prwjl44qqi563h25fol8id25c2y4q7o26yg7flhft157704emldrvwh2mma7ii96p29e01zxnvruv0h6qldftokf53vxf83ntwk5rac503b53dclphbmvmrgd0kye9tiozwrhr64siys132rkwhph7e9ypdme5sd5g5axcedffr9gyztsj2v01w2gf708wgywq3wfck45iex2l7ur, quantidade=4), preco, preco deve ser um número",""
"passed","Sat Mar 01 06:36:53 GMT 2025","Sat Mar 01 06:36:55 GMT 2025","2385","","com.vemser.rest.tests.login.LoginTest","","com.vemser.rest.tests.login.LoginTest","testRealizarLoginComSenhaInvalidaSemSucesso","testRealizarLoginComSenhaInvalidaSemSucesso()",""
"passed","Sat Mar 01 06:36:24 GMT 2025","Sat Mar 01 06:36:24 GMT 2025","279","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","testDeveExcluirUsuarioComSucesso","testDeveExcluirUsuarioComSucesso()",""
"passed","Sat Mar 01 06:36:44 GMT 2025","Sat Mar 01 06:36:45 GMT 2025","596","","com.vemser.rest.tests.produto.ProdutoGetTest","","com.vemser.rest.tests.produto.ProdutoGetTest","testListarProdutoVariavelSeparandoPorVirgulaComSucesso","testListarProdutoVariavelSeparandoPorVirgulaComSucesso()",""
"passed","Sat Mar 01 06:35:29 GMT 2025","Sat Mar 01 06:35:32 GMT 2025","2946","","com.vemser.rest.tests.produto.ProdutoDeleteTest","","com.vemser.rest.tests.produto.ProdutoDeleteTest","testSchemaDeletarProdutoValidoComSucesso","testSchemaDeletarProdutoValidoComSucesso()",""
"passed","Sat Mar 01 06:36:21 GMT 2025","Sat Mar 01 06:36:23 GMT 2025","2192","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","testDeveExcluirUsuarioComDoisIDsValidoSemSucesso","testDeveExcluirUsuarioComDoisIDsValidoSemSucesso()",""
