"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 19 13:47:08 UTC 2025","Wed Feb 19 13:47:09 UTC 2025","459","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testBuscarUsuariosPorIDComCaixaAltaSemSucesso","testBuscarUsuariosPorIDComCaixaAltaSemSucesso()",""
"passed","Wed Feb 19 13:47:24 UTC 2025","Wed Feb 19 13:47:25 UTC 2025","840","","com.vemser.rest.tests.produto.ProdutoGetTest","","com.vemser.rest.tests.produto.ProdutoGetTest","testBuscarProdutoInvalidoPorIDSemSucesso","testBuscarProdutoInvalidoPorIDSemSucesso(String, String, String) [1] idinvalido, message, Produto não encontrado",""
"passed","Wed Feb 19 13:47:25 UTC 2025","Wed Feb 19 13:47:26 UTC 2025","838","","com.vemser.rest.tests.produto.ProdutoGetTest","","com.vemser.rest.tests.produto.ProdutoGetTest","testBuscarProdutoInvalidoPorIDSemSucesso","testBuscarProdutoInvalidoPorIDSemSucesso(String, String, String) [2] 0, message, Produto não encontrado",""
"passed","Wed Feb 19 13:47:08 UTC 2025","Wed Feb 19 13:47:08 UTC 2025","482","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testListarUsuariosPorEmailInvalidoSemSucesso","testListarUsuariosPorEmailInvalidoSemSucesso()",""
"passed","Wed Feb 19 13:47:10 UTC 2025","Wed Feb 19 13:47:11 UTC 2025","570","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testListarTodosUsuariosComSucesso","testListarTodosUsuariosComSucesso()",""
"passed","Wed Feb 19 13:46:40 UTC 2025","Wed Feb 19 13:46:41 UTC 2025","781","","com.vemser.rest.tests.produto.ProdutoGetTest","","com.vemser.rest.tests.produto.ProdutoGetTest","testSchemaBuscarProdutoPorIDCOmSucesso","testSchemaBuscarProdutoPorIDCOmSucesso()",""
"passed","Wed Feb 19 13:47:07 UTC 2025","Wed Feb 19 13:47:08 UTC 2025","491","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testBuscarUsuariosPorIDInvalidoSemSucesso","testBuscarUsuariosPorIDInvalidoSemSucesso()",""
"passed","Wed Feb 19 13:47:13 UTC 2025","Wed Feb 19 13:47:13 UTC 2025","221","","com.vemser.rest.tests.usuario.UsuariosPostTest","","com.vemser.rest.tests.usuario.UsuariosPostTest","testDeveCadastrarUsuarioComSucesso","testDeveCadastrarUsuarioComSucesso()",""
"passed","Wed Feb 19 13:47:14 UTC 2025","Wed Feb 19 13:47:14 UTC 2025","321","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","testDeveExcluirUsuarioComIDInvalidoSemSucesso","testDeveExcluirUsuarioComIDInvalidoSemSucesso()",""
"passed","Wed Feb 19 13:47:12 UTC 2025","Wed Feb 19 13:47:13 UTC 2025","605","","com.vemser.rest.tests.usuario.UsuariosPutTest","","com.vemser.rest.tests.usuario.UsuariosPutTest","testDeveAtualizarUsuarioComNomeExcessivamenteLongoSemSucesso","testDeveAtualizarUsuarioComNomeExcessivamenteLongoSemSucesso()",""
"passed","Wed Feb 19 13:47:16 UTC 2025","Wed Feb 19 13:47:17 UTC 2025","789","","com.vemser.rest.tests.produto.ProdutoDeleteTest","","com.vemser.rest.tests.produto.ProdutoDeleteTest","testDeletarProdutoValidoComSucesso","testDeletarProdutoValidoComSucesso()",""
"passed","Wed Feb 19 13:46:33 UTC 2025","Wed Feb 19 13:46:36 UTC 2025","2788","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testSchemaBuscarUsuariosPorID","testSchemaBuscarUsuariosPorID()",""
"passed","Wed Feb 19 13:47:13 UTC 2025","Wed Feb 19 13:47:13 UTC 2025","110","","com.vemser.rest.tests.usuario.UsuariosPostTest","","com.vemser.rest.tests.usuario.UsuariosPostTest","testDeveCadastrarUsuarioComCampoSenhaVazioSemSucesso","testDeveCadastrarUsuarioComCampoSenhaVazioSemSucesso()",""
"passed","Wed Feb 19 13:47:26 UTC 2025","Wed Feb 19 13:47:27 UTC 2025","1033","","com.vemser.rest.tests.produto.ProdutoGetTest","","com.vemser.rest.tests.produto.ProdutoGetTest","testListarProdutoInvalidoSemSucesso","testListarProdutoInvalidoSemSucesso(String, String, String, int) [1] _id, idinvalido, quantidade, 0",""
"passed","Wed Feb 19 13:46:38 UTC 2025","Wed Feb 19 13:46:39 UTC 2025","402","","com.vemser.rest.tests.login.LoginTest","","com.vemser.rest.tests.login.LoginTest","testSchemaRealizarLoginComSucesso","testSchemaRealizarLoginComSucesso()",""
"passed","Wed Feb 19 13:47:17 UTC 2025","Wed Feb 19 13:47:17 UTC 2025","662","","com.vemser.rest.tests.produto.ProdutoDeleteTest","","com.vemser.rest.tests.produto.ProdutoDeleteTest","testDeletarProdutoInvalidoSemSucesso","testDeletarProdutoInvalidoSemSucesso(String, String, String, int) [1] idinvalido, message, Nenhum registro excluído, 200",""
"passed","Wed Feb 19 13:47:22 UTC 2025","Wed Feb 19 13:47:23 UTC 2025","514","","com.vemser.rest.tests.produto.ProdutoPostTest","","com.vemser.rest.tests.produto.ProdutoPostTest","testCadastrarProdutoInvalidoSemSucesso","testCadastrarProdutoInvalidoSemSucesso(Produto, String, String, String, int) [1] Produto(nome=Aerodynamic Concrete Coat, preco=3, descricao=tobadnrzvdglqds1kgmvac291uo7wtfxqa5k7957zuk4b9g2hv36ixh3voxk2g2ojn6l7pkmkhfvbnvgfagujixt02wbtk968dc56kbdan2zqpvfvs1rpfll8l3s5hj6ght8r98ng8byhyg9h7btu5vfm1on3399hj4yysdx0sk6jnv15l4087k6sm9grb6ity5fsqi7lzghxz0l73ug7xfbos8bf33qus5joeowykm9ei76nhsxa0hewucgey4, quantidade=3), , message, Token de acesso ausente, inválido, expirado ou usuário do token não existe mais, 401",""
"passed","Wed Feb 19 13:47:07 UTC 2025","Wed Feb 19 13:47:07 UTC 2025","515","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testBuscarUsuariosPorIDComSucessoHamCrest","testBuscarUsuariosPorIDComSucessoHamCrest()",""
"passed","Wed Feb 19 13:47:21 UTC 2025","Wed Feb 19 13:47:22 UTC 2025","508","","com.vemser.rest.tests.produto.ProdutoPostTest","","com.vemser.rest.tests.produto.ProdutoPostTest","testCadastrarProdutoInvalidoSemSucesso","testCadastrarProdutoInvalidoSemSucesso(Produto, String, String) [5] Produto(nome=Synergistic Marble Shirt, preco=1, descricao=, quantidade=9), descricao, descricao não pode ficar em branco",""
"passed","Wed Feb 19 13:47:09 UTC 2025","Wed Feb 19 13:47:10 UTC 2025","450","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testListarUsuariosVariavelComSucesso","testListarUsuariosVariavelComSucesso()",""
"passed","Wed Feb 19 13:47:14 UTC 2025","Wed Feb 19 13:47:15 UTC 2025","305","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","testDeveExcluirUsuarioComSucesso","testDeveExcluirUsuarioComSucesso()",""
"passed","Wed Feb 19 13:47:33 UTC 2025","Wed Feb 19 13:47:34 UTC 2025","723","","com.vemser.rest.tests.produto.ProdutoPutTest","","com.vemser.rest.tests.produto.ProdutoPutTest","testAtualizarProdutoInvalidoStatus400SemSucesso","testAtualizarProdutoInvalidoStatus400SemSucesso(Produto, String, String) [4] Produto(nome=Sleek Bronze Plate, preco=4, descricao=vc974v3a9v35qg7e251he2vapon2732me59g9nao4mppxoeup6o0aul8dt899qpoqmru5tkc5qrxr4ao3wrhym4j04fzjnhoryo7eg9fsec6byxz87nz6ur6s7wljdg62e4gdulsef1lys4odgr41ncyxzuxzfxlqxm5633rq1xkk5zmp7sagc2axvak8f45bde29d91sf1g5lv65oxuwt536l3yd01zqoq3diy5k64xhsmqvmz52657rum7cr8, quantidade=null), quantidade, quantidade deve ser um número",""
"passed","Wed Feb 19 13:46:38 UTC 2025","Wed Feb 19 13:46:38 UTC 2025","203","","com.vemser.rest.tests.usuario.UsuariosPostTest","","com.vemser.rest.tests.usuario.UsuariosPostTest","testSchemaDeveCadastrarUsuarioComSucesso","testSchemaDeveCadastrarUsuarioComSucesso()",""
"passed","Wed Feb 19 13:47:31 UTC 2025","Wed Feb 19 13:47:32 UTC 2025","779","","com.vemser.rest.tests.produto.ProdutoPutTest","","com.vemser.rest.tests.produto.ProdutoPutTest","testAtualizarProdutoInvalidoStatus400SemSucesso","testAtualizarProdutoInvalidoStatus400SemSucesso(Produto, String, String) [2] Produto(nome=, preco=5, descricao=cjmgmighynayv8soik3b46e5mzuqf5nhbeg2ha2fqoiitcna6f7ezk5zrkx1t9heunvvzskguez6wa8v3ox6ey3i6sujy6yojwevpffy9ou2vzfjd290f041fla35o7rr88rice206x3zbzq0dwzlybzx1ap23jqtfr26ry0jklkmpxn0h4ndr4quqc21av7jem9ybm4euv2vuscsjm9ej0sg2mhfyntjvlvhxvi4hx0ny87xijk003r88mz7it, quantidade=4), nome, nome não pode ficar em branco",""
"passed","Wed Feb 19 13:46:39 UTC 2025","Wed Feb 19 13:46:40 UTC 2025","576","","com.vemser.rest.tests.produto.ProdutoPostTest","","com.vemser.rest.tests.produto.ProdutoPostTest","testSchemaCadastrarProdutoValidoComSucesso","testSchemaCadastrarProdutoValidoComSucesso()",""
"passed","Wed Feb 19 13:47:06 UTC 2025","Wed Feb 19 13:47:06 UTC 2025","554","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testBuscarUsuariosPorIDComSucessoAssertionsAll","testBuscarUsuariosPorIDComSucessoAssertionsAll()",""
"passed","Wed Feb 19 13:46:36 UTC 2025","Wed Feb 19 13:46:37 UTC 2025","659","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testSchemaListarTodosUsuariosComSucesso","testSchemaListarTodosUsuariosComSucesso()",""
"passed","Wed Feb 19 13:47:24 UTC 2025","Wed Feb 19 13:47:24 UTC 2025","633","","com.vemser.rest.tests.produto.ProdutoPostTest","","com.vemser.rest.tests.produto.ProdutoPostTest","testCadastrarProdutoValidoComSucesso","testCadastrarProdutoValidoComSucesso()",""
"passed","Wed Feb 19 13:47:20 UTC 2025","Wed Feb 19 13:47:21 UTC 2025","534","","com.vemser.rest.tests.produto.ProdutoPostTest","","com.vemser.rest.tests.produto.ProdutoPostTest","testCadastrarProdutoInvalidoSemSucesso","testCadastrarProdutoInvalidoSemSucesso(Produto, String, String) [3] Produto(nome=Lightweight Concrete Plate, preco=null, descricao=gk4k7ltv9eljj2y6q7mwo14kd4fq93jbo2luna9o2rnunrb3qd2xuyba9dmss6oju803gciputn6grtybd5cyb77ah5un0xa2bdsovg2cpv6etdu7k18lafmvhqaxnhc4vzl9jarha1r9uajz5cy9w8b1tnauq8dr3specodhtmidkli6dfmwxkavwh87ob28kn1ojj7verc2ohtaj2oktr0uj4cm3pxqlfp52yu0g28dmiykctn31wk6pxshdr, quantidade=5), preco, preco deve ser um número",""
"passed","Wed Feb 19 13:47:13 UTC 2025","Wed Feb 19 13:47:14 UTC 2025","351","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","","com.vemser.rest.tests.usuario.UsuariosDeleteTest","testDeveExcluirUsuarioComDoisIDsValidoSemSucesso","testDeveExcluirUsuarioComDoisIDsValidoSemSucesso()",""
"failed","Wed Feb 19 13:47:06 UTC 2025","Wed Feb 19 13:47:07 UTC 2025","648","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testPatternListarTodosUsuariosComSucesso","testPatternListarTodosUsuariosComSucesso()",""
"failed","Wed Feb 19 13:47:02 UTC 2025","Wed Feb 19 13:47:05 UTC 2025","3176","","com.vemser.rest.tests.usuario.UsuariosGetTest","","com.vemser.rest.tests.usuario.UsuariosGetTest","testListarUsuariosPorIDInvalidoSemSucesso","testListarUsuariosPorIDInvalidoSemSucesso()",""
